"group_name","parameter_name"
"other","Vagina"
"other","Vesicular Gland"
"other","Mesenteric Lymph Node"
"other","Oral epithelium"
"images","LacZ Images Section"
"images","LacZ Images Wholemount"
"other","Free Ontology"
"other","Free Ontology Annotation reason"
"other","Free text comment"
"images","Microscope equipment id"
"images","Microscope equipment manufacturer"
"images","Microscope equipment model"
"images","Date Microscope last calibrated"
"equipment","Detector equipment manufacturer"
"equipment","Detector equipment model"
"equipment","Objective equipment company"
"equipment","Objective equipment model"
"other","Objective magnification"
"equipment","Illumination source manufacturer"
"other","Illumination source model"
"other","Sample preparation stain name"
"other","Sample preparation reference impc"
"other","Bit Depth"
"other","Colorspace"
"other","Experimental category"
"other","Orientation"
"images","Pixels per millimeter before processing"
"images","Pixels per millimeter after processing"
"images","Showcase image"
"other","Date of Sacrifice"
"other","Date of Perfusion"
"other","Epididymis"
"brain","Main olfactory bulb"
"brain","Midbrain"
"brain","Thalamus"
"other","Alive"
"other","Scored"
"blood_hematology","Cardiovascular System"
"blood_hematology","Cardiovascular Development"
"heart","Heart Development"
"other","Outflow tract development"
"heart","Heart Morphology"
"blood_hematology","Blood Vessel Morphology"
"blood_hematology","Developmental Vascular Remodelling"
"other","Craniofacial"
"other","Craniofacial Development"
"other","Head shape"
"other","Head size"
"embryo_development","Embryo Size"
"other","Body wall morphology"
"functional_behavioral","Hearing/Vestibular/Ear"
"other","Ear Morphology"
"other","Ear Development"
"other","Homeostasis/metabolism"
"other","Integument"
"other","Vibrissa Morphology"
"other","Skin Appearance"
"other","Skin Coloration"
"other","Limb Bud Morphology"
"other","Limb Plate Morphology"
"other","Tail Morphology"
"other","Liver/Biliary"
"other","Liver Morphology"
"other","Liver Size"
"brain","Nervous System"
"brain","Brain Development"
"other","Vision/Eye"
"other","Eye Morphology"
"other","Eye Size"
"images","Comment on image"
"images","Images"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Fixative"
"embryo_development","Time of Dissection"
"other","Somite Stage"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"equipment","Date equipment last calibrated"
"heart","Absent heartbeat"
"pathology","Hemorrhage"
"pathology","Skin Hemorrhage"
"other","Facial Cleft"
"other","Cleft Palate"
"other","Hydrops fetalis (fetal adema)"
"other","Gastroschisis (herniated abdominal wall)"
"other","Polydactyly"
"other","Pale Liver"
"brain","Exencephaly"
"brain","Holoprosencephaly"
"other","spina bifida"
"other","Microphthalmia"
"other","Anophthalmia"
"other","Severely Dysmorphic"
"other","Outcome"
"other","Decision"
"other","Comment on Decision (in English)"
"embryo_development","Total embryos"
"embryo_development","Total embryos heterozygous"
"embryo_development","Total embryos homozygous"
"embryo_development","Total dead embryos"
"other","Total dead WT"
"other","Total dead heterozygous"
"other","Total dead homozygous"
"pathology","Total gross defect at dissection (alive or dead) embryos"
"pathology","Total gross defect at dissection (alive or dead) WT"
"pathology","Total gross defect at dissection (alive or dead) heterozygous"
"pathology","Total gross defect at dissection (alive or dead) homozygous"
"other","Number of reabsorptions"
"embryo_development","Average Litter Size"
"embryo_development","% embryos WT"
"embryo_development","% embryos heterozygous"
"embryo_development","% embryos homozygous"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"embryo_development","Embryo medium"
"embryo_development","Total embryos WT"
"embryo_development","Total live embryos"
"other","Total live heterozygous"
"other","Total live WT"
"other","Total live homozygous"
"other","Pipeline ID(s)"
"other","Date effective from"
"other","Date effective until"
"equipment","Housing - temperature regulated"
"equipment","Housing - temperature range"
"other","Housing - relative humidity regulated"
"other","Housing - relative humidity range"
"other","Housing - ventilation managed"
"other","Housing - air changes per hour in the room (range)"
"other","Housing - IVC ventilation"
"other","Housing - air changes per hour in the IVC unit (range)"
"other","Housing - light source"
"other","Housing - light intensity (range)"
"other","Housing - time lights switched on"
"other","Housing - time lights switched off"
"equipment","Housing - cage manufacturer"
"other","Housing - cage model"
"equipment","Housing - Racking system manufacturer"
"other","Housing - cage dimensions (L x W x H in mm)"
"other","Housing - animals per cage - Female maximum"
"other","Housing - animals per cage - Female minimum"
"other","Housing - animals per cage - Male maximum"
"other","Housing - animals per cage - Male minimum"
"other","Housing - bedding type"
"other","Housing - bedding pre-treatment"
"other","Housing - cage enrichment"
"other","Housing - frequency of cage cleaning"
"other","Housing - frequency of handling (excluding phenotyping)"
"other","Housing - frequency of animal welfare assessments"
"other","Nutrition - supplier of diet"
"other","Nutrition - product ID of diet"
"other","Nutrition - diet type"
"weight","Nutrition - average composition (based on mass) - Carbohydrate"
"weight","Nutrition - average composition (based on mass) - Fat"
"weight","Nutrition - average composition (based on mass) - Protein"
"other","Nutrition - feeding regime (excluding fasting periods)"
"other","Nutrition - source of lipids"
"other","Water - pre-treatment"
"other","Water - schedule (quantity)"
"other","Water - supply method"
"other","Microbiological status - status of your centre"
"other","Microbiological status - pathogens testing frequency"
"other","Phenotyping lifestage"
"other","Water - quality monitored"
"weight","Submission Identifier"
"other","Alive"
"other","Scored"
"brain","Behavior/neurological"
"blood_hematology","Cardiovascular System"
"blood_hematology","Cardiovascular Development"
"heart","Heart Development"
"other","Outflow tract development"
"heart","Heart Morphology"
"blood_hematology","Blood Vessel Morphology"
"other","Craniofacial"
"other","Head shape"
"other","Head size"
"other","Facial Morphology"
"other","Digestive/alimentary"
"other","Digestive System Morphology"
"embryo_development","Embryo Size"
"weight","Embryo weight"
"other","Body wall morphology"
"functional_behavioral","Hearing/Vestibular/Ear"
"other","Outer ear morpholgy"
"other","Ear Development"
"other","Homeostasis/metabolism"
"other","Integument"
"other","Vibrissa Morphology"
"other","Skin Appearance"
"other","Skin Coloration"
"other","Limb Morphology"
"other","Tail Morphology"
"other","Liver/Biliary"
"other","Liver Morphology"
"other","Liver Size"
"other","Muscle"
"other","Diaphragm Morphology"
"brain","Nervous System"
"brain","Brain Development"
"other","Renal/Urinary"
"other","Kidney"
"other","Respiratory System"
"other","Lung Morphology"
"other","Lung Development"
"other","Vision/Eye"
"other","Eye Morphology"
"other","Eye Size"
"other","Number of cervical vertebrae"
"images","Comment on image"
"images","Images"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Fixative"
"embryo_development","Time of Dissection"
"other","Somite Stage"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"equipment","Date equipment last calibrated"
"other","Spontaneous movement"
"other","Responsive to tactile stimuli"
"pathology","Hemorrhage"
"pathology","Skin Hemorrhage"
"other","Facial Cleft"
"other","Cleft Palate"
"other","Cyanosis"
"pathology","Edema"
"other","Hydrops fetalis (fetal adema)"
"other","Pallor"
"other","Polydactyly"
"brain","Exencephaly"
"brain","Holoprosencephaly"
"other","spina bifida"
"other","Respiratory Failure"
"other","Microphthalmia"
"other","Anophthalmia"
"other","Failure of Eyelid Fusion"
"other","Severely Dysmorphic"
"images","Embryo reconstruction"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"equipment","Equipment Version"
"images","Image Pixel Size"
"images","E18.5 MicroCT Preparation protocol"
"equipment","Date equipment last calibrated"
"other","Date of Sacrifice"
"other","Date Preparation Finished"
"images","Date of Scan"
"equipment","Source Voltage"
"equipment","Source Current"
"other","Object to Source"
"images","Camera to Source"
"other","Screenshots"
"other","Limb digits"
"other","Tail"
"other","Limbs"
"other","Pinna"
"other","Vibrissa"
"pathology","Edema"
"embryo_development","Embryo size"
"brain","Spinal Cord"
"other","Spine curvature"
"other","Craniofacial morphology"
"brain","Hindbrain subarachnoid space"
"brain","Midbrain roof plate"
"brain","Midbrain"
"brain","Cerebellum"
"brain","Cerebral cortex"
"brain","Thalamus"
"other","Corpus striatum"
"brain","Hippocampus"
"brain","Hypothalamus"
"other","Pineal gland"
"other","Pons"
"other","Medulla oblongata"
"heart","Lateral ventricles"
"heart","Lateral ventricle choroid plexus"
"heart","4th ventricle choroid plexus"
"heart","4th Ventricle"
"other","Cerebral aqueduct"
"other","Median sulcus"
"heart","3rd ventricle"
"brain","Olfactory lobe"
"brain","Trigeminal ganglion"
"brain","Pituitary gland"
"brain","Spinal cord cervical region"
"brain","Dorsal root ganglion"
"other","Cochlea"
"other","Nasal septum"
"other","Nasal cavity"
"other","Nasopharynx"
"other","Vomeronasal organ"
"other","Oropharynx"
"other","Oral cavity"
"other","Optic nerve"
"images","Intraretinal space"
"other","Hyaloid cavity"
"other","Cornea"
"other","Lens"
"other","Eyelids"
"other","Temporal bone"
"other","Pharyngo-tympanic tube"
"other","Palate"
"other","Epiglottis"
"other","Tongue"
"other","Mandible"
"other","Lower jaw molar"
"other","Upper jaw molar"
"other","Sphenoid bone"
"other","Thyroid gland"
"other","Submandibular gland"
"other","Brown fat"
"other","Vertebrae"
"other","Esophagus"
"other","Clavicle"
"other","Scapula"
"other","Ulna"
"other","Humerus"
"other","Arytenoid cartilage"
"other","Cricoid cartilage"
"other","Trachea"
"blood_hematology","Carotid artery"
"other","Thymus"
"other","Sternum"
"other","Rib"
"other","T1 rib"
"other","Vena cava"
"other","Inferior vena cava"
"other","Superior vena cava"
"blood_hematology","Jugular vein"
"other","Ductus arteriosus"
"heart","Pulmonary valve"
"other","Pulmonary trunk"
"heart","Dorsal aorta"
"other","Ductus venosus"
"heart","Aorta"
"heart","Aortic valve"
"heart","Heart atrium"
"heart","Heart ventricle"
"heart","Tricuspid valve"
"heart","Mitral valve"
"other","Interventricular septum"
"heart","Pericardial cavity"
"heart","Pericardium"
"other","Main bronchus"
"other","Bronchus"
"other","Right lung cranial lobe"
"other","Right lung middle lobe"
"other","Right lung caudal lobe"
"other","Right lung accessory lobe"
"other","Left lung"
"other","Diaphragm"
"other","Peritoneal cavity"
"other","Liver"
"other","Liver left lobe"
"other","Liver right lobe"
"other","Liver caudate lobe"
"other","Gallbladder"
"other","Liver lobar interzone"
"other","Pancreas"
"other","Stomach"
"other","Pyloric antrum"
"other","Stomach fundus"
"other","Stomach lumen"
"other","Small intestine"
"other","Hindgut"
"other","Midgut"
"other","Hip joint"
"other","Femur"
"other","Fibula"
"other","Tibia"
"other","Adrenal gland"
"other","Kidney"
"other","Renal calyx"
"other","Bladder"
"other","Rectum"
"other","Spleen"
"other","Ovary"
"other","Testes"
"other","Penis"
"other","Circumventricular organ"
"other","Hyoid"
"other","Severely dysmorphic"
"embryo_development","Delayed embryonic development"
"other","Annotator ID"
"other","Date of Annotation"
"functional_behavioral","Response amplitude - BN"
"functional_behavioral","Response amplitude - PP1"
"functional_behavioral","Response amplitude - PP2"
"functional_behavioral","Response amplitude - PP3"
"functional_behavioral","Response amplitude - PP4"
"functional_behavioral","Response amplitude - S"
"functional_behavioral","Response amplitude - PP1_S"
"functional_behavioral","Response amplitude - PP2_S"
"functional_behavioral","Response amplitude - PP3_S"
"functional_behavioral","Response amplitude - PP4_S"
"other","Light level in chamber"
"other","Date and time"
"other","Experimenter ID"
"functional_behavioral","Startle stimulus"
"other","Background noise"
"heart","Pre-pulse stimulus 1"
"heart","Pre-pulse stimulus 2"
"heart","Pre-pulse stimulus 3"
"heart","Pre-pulse stimulus 4"
"other","Inter-trial interval"
"other","Number of trials"
"other","In-chamber adapt time"
"other","Stimulus order"
"other","Mouse chamber ID"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"other","Software version"
"other","Mouse chamber dimension"
"equipment","Sound generator manufacturer"
"other","Sound-proof box dimension"
"heart","% Pre-pulse inhibition - PPI1"
"heart","% Pre-pulse inhibition - PPI2"
"heart","% Pre-pulse inhibition - PPI3"
"heart","% Pre-pulse inhibition - PPI4"
"heart","% Pre-pulse inhibition - Global"
"equipment","Date equipment last calibrated"
"other","Inter PP-S stimulus interval"
"other","Sound generator model"
"other","Number of signals"
"other","HR"
"other","CV"
"other","RR"
"other","PQ"
"other","PR"
"other","QRS"
"other","ST"
"other","HRV"
"other","Mean SR amplitude"
"other","Mean R amplitude"
"other","rMSSD"
"other","pNN5(6>ms)"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Anesthetic"
"other","Experimenter ID"
"other","Noise level"
"other","Light level"
"equipment","Date equipment last calibrated"
"other","QTc"
"other","Analysis Software"
"images","Waveform Image"
"images","Waveform Image Comment"
"other","Lead Configuration"
"other","QT"
"other","QT Dispersion"
"other","Data acquisition sampling rate"
"pathology","Abnormal ECG detected"
"brain","Brain"
"other","Eye with optic nerve"
"brain","Spinal cord"
"other","Thymus"
"other","Thyroid"
"heart","Heart"
"other","Trachea"
"other","Esophagus"
"other","Lung"
"other","Liver"
"other","Gall bladder"
"other","Stomach"
"other","Small intestine"
"other","Large intestine"
"other","Pancreas"
"other","Spleen"
"other","Kidney"
"other","Adrenal gland"
"other","Mammary gland"
"other","Lymph node"
"other","Skin"
"other","Skeletal muscle"
"other","Urinary bladder"
"other","Testes"
"other","Epididymis"
"other","Prostate"
"other","Seminal vesicle"
"other","Ovary"
"other","Uterus"
"weight","Body Weight"
"images","Images"
"other","Comments (in English)"
"other","Experimenter ID"
"other","Method of sacrifice"
"blood_hematology","Method of Blood Collection"
"equipment","Equipment ID"
"other","Fixative"
"equipment","Date equipment last calibrated"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"other","Date of sacrifice"
"equipment","ID for sample banking protocol"
"equipment","Balance manufacturer"
"functional_behavioral","Balance model"
"images","Camera resolution"
"other","Eye fixative"
"other","Salivary gland"
"other","Sternum"
"other","Femur"
"blood_hematology","Bone marrow"
"other","Brown fat"
"other","Tibia"
"other","Knee joint"
"brain","Trigeminal V nerve"
"other","Nasal cavity"
"other","Ear"
"other","Tooth"
"other","Tongue"
"other","Sciatic nerve"
"other","Bone"
"other","Tissue available for distribution"
"other","Number of signals"
"other","HR"
"other","CV"
"other","RR"
"other","PQ"
"other","PR"
"other","QRS"
"other","ST"
"other","QTc"
"other","HRV"
"other","QTc Dispersion"
"other","Mean SR amplitude"
"other","Mean R amplitude"
"other","rMSSD"
"other","pNN5(6>ms)"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Anesthetic"
"other","Experimenter ID"
"other","Noise level"
"other","Light level"
"equipment","Date equipment last calibrated"
"other","Analysis Software"
"images","Waveform Image"
"images","Waveform Image Comment"
"other","Population average"
"other","T-statistics determinents"
"other","T-statistics intensities"
"other","FDR thresholds for determinents"
"other","FDR thresholds for intensities"
"other","Used WT specimen names"
"other","Used MUT specimen names"
"other","Version of pydpiper"
"other","Data analysis finished"
"heart","Pericardium Morphology"
"embryo_development","Visceral yolk sac morphology"
"embryo_development","Embryo Size"
"other","Ear Morphology"
"other","Skin Appearance"
"other","Limb Bud Morphology"
"other","Limb Plate Morphology"
"other","Tail Morphology"
"other","Liver Size"
"other","Neural Tube Closure"
"other","Eye Morphology"
"other","Head shape"
"images","Comment on image"
"images","Images"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Fixative"
"embryo_development","Time of Dissection"
"other","Somite Stage"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"equipment","Date equipment last calibrated"
"embryo_development","Pale yolk sac"
"other","Pallor"
"other","Blebs"
"other","Pale Liver"
"other","Microphthalmia"
"other","Anophthalmia"
"other","Severely Dysmorphic"
"other","Abdominal wall"
"other","Craniofacial morphology"
"other","Facial cleft"
"other","Facial hypoplasia"
"heart","Heart looping"
"heart","Heart morphology"
"other","Left-right axis patterning"
"brain","Forebrain morphology"
"brain","Hindbrain morphology"
"brain","Midbrain morphology"
"other","Microcephaly"
"other","Rostal-caudal patterning"
"blood_hematology","Vascular morphology"
"other","CRL"
"embryo_development","Delayed embryonic development"
"pathology","Edema"
"pathology","Hemorrhage"
"other","Polydactyly"
"brain","Exencephaly"
"weight","Body weight before experiment"
"weight","Body weight after experiment"
"other","Oxygen consumption"
"other","Carbon dioxide production"
"other","Heat production (metabolic rate)"
"functional_behavioral","Ambulatory activity  (no. of beam cuts)"
"functional_behavioral","Total activity  (no. of fine movement + no. of beam cuts)"
"other","Total food intake"
"other","Cumulative food intake"
"other","Time of dark cycle start"
"equipment","Room temperature"
"other","Acclimation to respirometry cages"
"other","Duration of test"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"other","Respiratory Exchange Ratio"
"other","Experimenter ID"
"equipment","Date equipment last calibrated"
"other","Time of dark cycle end"
"other","Total water intake"
"other","Cumulative water intake"
"other","End-Systolic Diameter"
"other","End-Diastolic Diameter"
"heart","Stroke Volume"
"other","Ejection Fraction"
"other","Fractional Shortening"
"heart","Cardiac Output"
"other","LVAWd"
"other","LVIDd"
"other","LVPWd"
"other","LVAWs"
"other","LVIDs"
"other","LVPWs"
"other","HR"
"other","Body Temp"
"heart","VTI of aortic flow (Pulse wave doppler mode)"
"other","Aortic diameter (Dao)"
"other","Tpeak Tend Interval"
"other","Respiration Rate"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Anesthetic"
"other","Experimenter ID"
"equipment","Date equipment last calibrated"
"images","M-Mode Images"
"other","Sodium"
"other","Potassium"
"other","Chloride"
"blood_hematology","Urea (Blood Urea Nitrogen - BUN)"
"other","Creatinine"
"other","Total protein"
"other","Albumin"
"other","Total bilirubin"
"other","Calcium"
"other","Phosphorus"
"other","Iron"
"other","Aspartate aminotransferase"
"other","Alanine aminotransferase"
"other","Alkaline phosphatase"
"other","Total cholesterol"
"other","HDL-cholesterol"
"other","Triglycerides"
"other","Glucose"
"other","LIH (Hemolysis Severity - available on AU analysers)"
"other","Fructosamine"
"other","Lipase"
"other","Lactate dehydrogenase"
"other","Alpha-amylase"
"other","UIBC (unsaturated iron binding capacity)"
"other","LDL-cholesterol"
"other","Free fatty acids"
"other","Glycerol"
"other","Creatine kinase"
"other","Uric acid"
"other","Ferritin"
"other","Transferrin"
"other","C-reactive protein"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"blood_hematology","Anesthesia used for blood collection"
"blood_hematology","Method of blood collection"
"other","Anticoagulant"
"other","Samples kept on ice between collection and analysis"
"other","Sample status"
"other","Sample dilution"
"blood_hematology","ID of blood collection SOP"
"blood_hematology","Date and time of blood collection"
"other","Hemolysis status"
"blood_hematology","Blood collection experimenter ID"
"equipment","Date equipment last calibrated"
"blood_hematology","Blood collection tubes"
"other","Date and time of sacrifice"
"blood_hematology","Storage temperature from blood collection till measurement"
"blood_hematology","Blood analysis experimenter ID"
"blood_hematology","Glycosilated hemoglobin A1c (HbA1c)"
"other","Thyroxine"
"other","Magnesium"
"other","Difficult bleed"
"other","Sample type"
"other","Fasting"
"other","Cholesterol ratio"
"equipment","Reagent manufacturer"
"heart","Heart Morphology"
"blood_hematology","Blood Vessel Morphology"
"other","Head shape"
"other","Head size"
"embryo_development","Embryo Size"
"other","Ear Morphology"
"other","Vibrissa Morphology"
"other","Skin Appearance"
"other","Skin Coloration"
"other","Tail Morphology"
"other","Liver Size"
"images","Comment on image"
"images","Images"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Fixative"
"embryo_development","Time of Dissection"
"other","Somite Stage"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"equipment","Date equipment last calibrated"
"pathology","Hemorrhage"
"other","Facial Cleft"
"other","Cleft Palate"
"other","Polydactyly"
"other","Pale Liver"
"brain","Exencephaly"
"brain","Holoprosencephaly"
"other","spina bifida"
"other","Microphthalmia"
"other","Anophthalmia"
"other","Severely Dysmorphic"
"other","Abdominal wall"
"other","Craniofacial morphology"
"pathology","Edema"
"other","Limb morphology"
"other","Microcephaly"
"other","Syndactyly"
"other","CRL"
"embryo_development","Delayed embryonic development"
"other","Blebs"
"other","Facial hypoplasia"
"other","Pallor"
"functional_behavioral","Response amplitude - BN"
"functional_behavioral","Response amplitude - PP1"
"functional_behavioral","Response amplitude - PP2"
"functional_behavioral","Response amplitude - PP3"
"functional_behavioral","Response amplitude - PP4"
"functional_behavioral","Response amplitude - S"
"functional_behavioral","Response amplitude - PP1_S"
"functional_behavioral","Response amplitude - PP2_S"
"functional_behavioral","Response amplitude - PP3_S"
"functional_behavioral","Response amplitude - PP4_S"
"other","Light level in chamber"
"other","Experimenter ID"
"functional_behavioral","Startle stimulus"
"other","Background noise"
"heart","Pre-pulse stimulus 1"
"heart","Pre-pulse stimulus 2"
"heart","Pre-pulse stimulus 3"
"heart","Pre-pulse stimulus 4"
"other","Inter-trial interval"
"other","Number of trials"
"other","In-chamber adapt time"
"other","Stimulus order"
"other","Mouse chamber ID"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"other","Software version"
"other","Mouse chamber dimension"
"equipment","Sound generator manufacturer"
"other","Sound-proof box dimension"
"heart","% Pre-pulse inhibition - PPI1"
"heart","% Pre-pulse inhibition - PPI2"
"heart","% Pre-pulse inhibition - PPI3"
"heart","% Pre-pulse inhibition - PPI4"
"heart","% Pre-pulse inhibition - Global"
"equipment","Date equipment last calibrated"
"other","Inter PP-S stimulus interval"
"other","Sound generator model"
"weight","Body Weight"
"blood_hematology","Blood glucose concentration"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"other","Mouse restrained"
"other","Type of strip"
"other","Experimenter ID"
"equipment","Date equipment last calibrated"
"blood_hematology","Fasted blood glucose concentration"
"functional_behavioral","Initial response to glucose challenge"
"functional_behavioral","Area under glucose response curve"
"other","Upper limit of the meter"
"other","Insulin"
"other","Type of kit"
"equipment","Kit manufacturer"
"other","Kit lot number"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"blood_hematology","Blood collection tubes"
"blood_hematology","Anesthesia used for blood collection"
"blood_hematology","Method of blood collection"
"other","Anticoagulant"
"blood_hematology","Date and time of blood collection"
"other","Sample status"
"other","Samples kept on ice between collection and analysis"
"other","Sample dilution"
"other","Replicates"
"blood_hematology","ID of blood collection SOP"
"other","Hemolysis status"
"blood_hematology","Blood collection experimenter ID"
"blood_hematology","Blood analysis experimenter ID"
"equipment","Date equipment last calibrated"
"other","Sample type"
"heart","Heart Morphology"
"blood_hematology","Blood Vessel Morphology"
"other","Head shape"
"other","Head size"
"other","Facial Morphology"
"embryo_development","Embryo Size"
"weight","Embryo weight"
"other","Body wall morphology"
"other","Outer ear morpholgy"
"other","Vibrissa Morphology"
"other","Skin Appearance"
"other","Pallor"
"other","Skin Coloration"
"other","Tail Morphology"
"other","Liver Size"
"other","Respiratory System"
"images","Comment on image"
"images","Images"
"other","Experimenter ID"
"equipment","Equipment ID"
"equipment","Equipment Manufacturer"
"equipment","Equipment Model"
"other","Fixative"
"embryo_development","Time of Dissection"
"other","Somite Stage"
"other","Time of dark cycle start"
"other","Time of dark cycle end"
"equipment","Date equipment last calibrated"
"other","Spontaneous movement"
"other","Responsive to tactile stimuli"
"pathology","Hemorrhage"
"other","Facial Cleft"
"other","Cyanosis"
"pathology","Edema"
"other","Polydactyly"
"brain","Exencephaly"
"brain","Holoprosencephaly"
"other","spina bifida"
"other","Microphthalmia"
"other","Anophthalmia"
"other","Failure of Eyelid Fusion"
"other","Severely Dysmorphic"
"other","Cleft palate"
"other","Curl or short tail"
"other","Facial hypoplasia"
"other","Microcephaly"
"other","Pale liver"
"other","Syndactyly"
"other","Tongue out"
"other","Limb morphology"
"other","CRL"
"embryo_development","Delayed embryonic development"
"other","Blebs"
"weight","Body weight"
"other","Click-evoked ABR threshold"
"other","Click-evoked ABR waveforms (numerical format)"
"other","6kHz-evoked ABR Threshold"
"other","6kHz-evoked ABR waveforms (numerical format)"
"other","12kHz-evoked ABR Threshold"
"other","12kHz-evoked ABR waveforms (numerical format)"
"other","18kHz-evoked ABR Threshold"
"other","18kHz-evoked ABR waveforms (numerical format)"
"other","24kHz-evoked ABR Threshold"
"other","24kHz-evoked ABR waveforms (numerical format)"
"other","30kHz-evoked ABR Threshold"
"other","30kHz-evoked ABR waveforms (numerical format)"
"other","Click-evoked + 6 to 30kHz tone waveforms (pdf format)"
"other","Audiograms"
"functional_behavioral","Preyer Reflex"
"other","Click +20dB waveforms (numerical format)"
"other","Click +50dB waveforms (numerical format)"
"other","Click +20dB+50dB waveforms (pdf format)"
"other","P1-N1 amplitude (at each stimulus level)"
"other","P3-N3 amplitude (at each stimulus level)"
"other","P1 Latency (at each stimulus level)"
"other","N1 Latency (at each stimulus level)"
"other","P3 Latency (at each stimulus level)"
"other","N3 Latency (at each stimulus level)"
"other","P1-P3 Interval (at each stimulus level)"
"other","N1-N3 Interval (at each stimulus level)"
"other","Range of test stimuli used"
"other","Range of stimulus levels used - Click"
"other","Range of stimulus levels used - 6kHz"
"other","Range of stimulus levels used - 12kHz"
"other","Range of stimulus levels used - 18kHz"
"other","Range of stimulus levels used - 24kHz"
"other","Range of stimulus levels used - 30kHz"
"other","Extension of stimulus levels"
"other","Stimulus level step size"
"other","Tone Pip Duration"
"other","Tone Pip rise/fall"
"other","Repetition Rate"
"other","Number averages"
"other","Recording Environment"
"other","Anesthetic agent 1"
"other","Anesthetic agent 2"
"other","Anesthetic agent 1 dosage"
"other","Anesthetic agent 2 dosage"
"other","Anesthetic administration route"
"other","Time of injection"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"equipment","Equipment model"
"other","Software"
"other","Experimenter ID"
"equipment","Date equipment last calibrated"
"weight","Body weight"
"other","Frequency of breathing (f)"
"other","Tidal volume (TVb)"
"other","Minute volume (MVb)"
"other","Peak expiratory flow (PEFb)"
"other","Peak inspiratory flow (PIFb)"
