"analysis_id","mgi_accession_id","gene_symbol","mouse_life_stage","mouse_strain","parameter_id","parameter_name","pvalue"
"004283cd279d058","MGI:1859211","Irf6","Early adult","C57BL","IMPC_GRS_008_001","Forelimb grip strength measurement mean",0.81
"0042n1960m8s3z4","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.48
"0042r1117bi47ls","MGI:95777","Gnas","Early adult","129SV","RBRCLA_HEM_005_001","Mean cell volume",0.3
"004739v19nt2632","MGI:99602","Acan","E18.5","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.72
"0047r66gd2jk8h2","MGI:1916943","Pof1b","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.09
"004866m686t4jt9","MGI:1339998","Efemp1","Early adult","C57BL","IMPC_DXA_010_001","Bone Area",0.6
"004950737ipt3on","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.81
"004rw5dvgkgs5m6","MGI:1333782","Pld3","Early adult","C57BL","HMGULA_SHI_009_001","Startle response",0.56
"005411zmz6b52ig","MGI:1333782","Pld3","Early adult","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0.91
"0064z2e3347984w","MGI:2669796","Rtn4rl2","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.14
"00831goefasj4r4","MGI:88289","Cbx2","E15.5","C57BL","IMPC_HEM_003_001","Hemoglobin",0.35
"0089s622v61avhv","MGI:96217","Hprt1","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.53
"008lon22l7z8394","MGI:1309467","Gstm6","Early adult","C57BL","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0.67
"008ugf0j7y39994","MGI:1923549","Erp44","Early adult","C57BL","IMPC_GEO_019_001","Embryo Size",0.09
"008z3qp4x04oh9s","MGI:3652039","Rad21l","Middle aged adult","C57BL","IMPC_EYE_068_001","Left total retinal thickness",0.92
"00948xbx0xlj7uq","MGI:97594","Prkacb","Early adult","C57BL","IMPC_GEP_004_002","Spontaneous movement",0.4
"0094xrwm2l2d766","MGI:1914852","Necap1","E18.5","C57BL","JAX_HBD_001_001","Total holepokes",0.63
"00974633w11epi6","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.13
"0099f39dee9d45i","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.4
"009qdti8qu3g60x","MGI:95805","Grb2","Early adult","C57BL","IMPC_EYE_067_001","Left anterior chamber depth",0.64
"00b3fd9089u1f10","MGI:88289","Cbx2","E15.5","C57BL","IMPC_HEM_027_001","Red blood cell distribution width",0.06
"00baue59rn11l2q","MGI:2141255","Zfp513","Early adult","C57BL","IMPC_CSD_033_001","Gait",0.2
"00d3nrk106589y1","MGI:1920431","Nfatc4","Early adult","C57BL","ESLIM_020_001_002","Heart weight",0.07
"00dzee1touw919a","MGI:1339711","Myh1","Early adult","C57BL","CCP_XRY_002_001","Zygomatic bone",0.4
"00ftr1634ss409w","MGI:109349","Atf2","Early adult","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.38
"00g01691nh9emv6","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.18
"00h6s5t2axvgg1g","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_OFD_017_001","Center average speed",0.99
"00j33004a41l683","MGI:109151","Ltbp1","Early adult","129SV","IMPC_GEM_063_001","Facial cleft",0.07
"00k1v8536a034r8","MGI:1914852","Necap1","E18.5","C57BL","IMPC_CSD_023_001","Vibrissae - presence",0.9
"00lhnwn5cil0jt8","MGI:2387194","Qsox2","Late adult","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.65
"00oc920393k0b39","MGI:95777","Gnas","Early adult","129SV","IMPC_CBC_008_001","Total bilirubin",0.3
"00oh2y44sqh1tlr","MGI:2661120","Actr3b","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.93
"00p85k00o81rw17","MGI:88071","Arnt","Early adult","C57BL","IMPC_EYE_083_001","Vitreous",0.71
"00r2gag28173bh9","MGI:2385186","Clcc1","E12.5","C57BL","JAX_OFD_007_001","Whole arena resting time",0.42
"00r45jwg1nwfr4h","MGI:99160","Zfp14","Early adult","C57BL","JAX_SLW_004_001","Sleep dark phase percent",0.52
"00s9ct66h9ewyws","MGI:3037820","Kcna10","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.88
"00ubaak18o8q2f8","MGI:1349473","Ppp2r5e","Early adult","C54BL","M-G-P_025_001_013","Aspartate aminotransferase",0.86
"00wkx6j2c6j043u","MGI:99602","Acan","E15.5","C57BL","IMPC_CBC_005_001","Creatinine",0.75
"00xgw4076n897rq","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_HEM_035_001","Eosinophil differential count",0.21
"00y3qi0u34b65g7","MGI:2153608","Ube2j2","Middle aged adult","C57BL","JAX_LDT_004_001","Dark side time spent",0.41
"00yx5t8527ye24j","MGI:2387194","Qsox2","Early adult","C57BL","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.64
"00z8644600c36be","MGI:1915267","Mrm2","Early adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.63
"0103r4590c2711t","MGI:1915759","Ptx4","Early adult","C57BL","IMPC_ECH_004_001","Ejection Fraction",0.91
"0104g58n9o26a41","MGI:95864","Gstp2","Early adult","C57BL","IMPC_OFD_014_001","Center distance travelled",0.15
"010d2vw5lbk99p3","MGI:1921674","Tmc5","Early adult","C57BL","JAX_SLW_002_001","Sleep daily percent",0.68
"010o2pwx6h35kf3","MGI:99602","Acan","E15.5","C57BL","IMPC_OFD_012_001","Periphery permanence time",0.67
"0114r79074606h2","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_ECH_011_001","LVIDs",0.75
"011b43oh2us969e","MGI:1921287","Acot6","Early adult","129SV","IMPC_IPG_010_001","Fasted blood glucose concentration",0.62
"012ee5zz0q6g4a2","MGI:1916387","Vstm5","Early adult","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.11
"012rlvy010ov5sy","MGI:2387194","Qsox2","Late adult","C57BL","MGP_PBI_031_001","KLRG1+ mature NK cell number",0.3
"012xnyzz93e720p","MGI:99602","Acan","Early adult","C57BL","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.57
"013541m592x63cd","MGI:3652039","Rad21l","Late adult","C57BL","JAX_URI_002_001","Creatinine",0.06
"013558s8bwu36m2","MGI:3037820","Kcna10","E12.5","C57BL","IMPC_OFD_009_001","Whole arena average speed",0.83
"0135f8l41472irk","MGI:2387194","Qsox2","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.25
"0136qa7j421320m","MGI:88289","Cbx2","Early adult","C57BL","IMPC_EYE_083_001","Vitreous",0.56
"0138wbvoqn46i7d","MGI:103250","Calm2","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.27
"0140j1m2qvr5049","MGI:95864","Gstp2","Early adult","C57BL","IMPC_ECH_004_001","Ejection Fraction",0.29
"0144l3546vd1v6e","MGI:2443796","Scart1","Early adult","C57BL","IMPC_GEM_063_001","Facial cleft",0.16
"0145454483ub78k","MGI:1932970","Ucn3","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.08
"015m08p8y8845gy","MGI:3037820","Kcna10","E12.5","C57BL","IMPC_CSD_008_001","Coat - color pattern - back",0.8
"015s76ef775zxaz","MGI:1922928","Ippk","E12.5","C57BL","IMPC_OFD_013_001","Periphery average speed",0.1
"01615zh029w7x0r","MGI:3646952","Spink14","Early adult","C57BL","IMPC_CSD_009_001","Coat - color pattern - head",0.67
"016225eyioxlqxd","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_CBC_006_001","Total protein",0.99
"016s8237r376xyh","MGI:1333782","Pld3","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.74
"016x86b23j80w4s","MGI:1344403","Cfdp1","Early adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.07
"0173l52j8bu6518","MGI:109151","Ltbp1","Early adult","129SV","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.16
"0179555tp86i53j","MGI:1309998","Marco","Early adult","C57BL","HMGULA_SHI_009_001","Startle response",0.27
"017g5650g09xpo9","MGI:1921287","Acot6","Early adult","C57BL","KMPCLA_CBC_006_001","Total protein",0.5
"017ohajscbp6a67","MGI:2684313","Togaram1","E9.5","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.37
"018uz39zai4b0zs","MGI:1920431","Nfatc4","Early adult","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.56
"0195kc71b3395rj","MGI:1196466","Dsg2","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.09
"019e0o979j46377","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.97
"019q82w8nl5w31y","MGI:104747","Pkia","Early adult","C57BL","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.97
"019x9241zf3m6a1","MGI:1339998","Efemp1","Early adult","C57BL","M-G-P_005_001_001","Weight",0.97
"01a70dfvzu5e35d","MGI:88289","Cbx2","E15.5","C57BL","IMPC_CSD_029_001","Activity (body position)",0.74
"01a78jc874s8xh2","MGI:98241","Stmn2","E18.5","C57BL","IMPC_OWT_002_001","Spleen weight",0.42
"01aia89ia9ae8zd","MGI:106351","Vcf1","Early adult","129SV","IMPC_DXA_006_001","Body length",0.98
"01bm4x4k6t2391e","MGI:700006","Dbnl","Early adult","C57BL","IMPC_DXA_007_001","BMC/Body weight",0.42
"01bv0dj1o51149p","MGI:2385186","Clcc1","E12.5","C57BL","IMPC_EYE_024_001","Retinal Blood Vessels",0.25
"01bwc530o3i1h3n","MGI:97594","Prkacb","Early adult","C57BL","M-G-P_025_001_014","Alanine aminotransferase",0.5
"01bxenuwj1f038s","MGI:2151224","Alpk3","Early adult","C57BL","IMPC_EYE_017_001","Lens Opacity",0.94
"01cc01q2p073617","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.77
"01ctc35d6s24499","MGI:98839","Prss1","Early adult","C57BL","IMPC_CSD_033_001","Gait",0.47
"01cw231g73232tl","MGI:1915267","Mrm2","E9.5","C57BL","IMPC_CBC_028_001","Creatine kinase",0.91
"01fa7qe8nuc3lut","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_CBC_008_001","Total bilirubin",0.28
"01fd8d60f8bd7y9","MGI:2136890","Setd4","Early adult","C57BL","HMGULA_CBC_010_001","Phosphorus",0.63
"01g7yh6ow08jp68","MGI:1917022","Bdh2","Early adult","C57BL","IMPC_OFD_013_001","Periphery average speed",0.88
"01gpys45c37wvpl","MGI:1922928","Ippk","E12.5","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.73
"01i5h51ds53mot1","MGI:1932970","Ucn3","Early adult","C57BL","JAX_LDT_002_001","Light side time spent",0.09
"01i99eu848sjjlu","MGI:3052471","Slc2a12","Early adult","C57BL","HMGULA_CBC_010_001","Phosphorus",0.44
"01izwg23077f1a4","MGI:99160","Zfp14","Early adult","C57BL","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.57
"01j760inqw5tqxd","MGI:98261","Ccl4","Early adult","C57BL","M-G-P_007_001_010","center - distance",0.77
"01k52ktx33166t4","MGI:2442689","Lrrc49","Early adult","C57BL","IMPC_EYE_024_001","Retinal Blood Vessels",0.42
"01l5e42g8o2c505","MGI:2684313","Togaram1","E12.5","C57BL","IMPC_CSD_080_001","Head bobbing",0.22
"01lynr4b96b0z06","MGI:95805","Grb2","Early adult","C57BL","IMPC_CBC_001_001","Sodium",0.7
"01m480z66io74e7","MGI:107628","Prdm2","Early adult","C57BL","IMPC_GEP_005_002","Responsive to tactile stimuli",0.36
"01nuc7o6yn31d0p","MGI:1915759","Ptx4","Early adult","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.45
"01o8jm826010206","MGI:95805","Grb2","Early adult","129SV","IMPC_EYE_016_001","Lens",0.45
"01obe4o477tmh7j","MGI:1915918","Klk5","Early adult","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.59
"01p06p898207bv2","MGI:99602","Acan","E18.5","C57BL","IMPC_EYE_083_001","Vitreous",0.47
"01p56ex7r4378ty","MGI:1915918","Klk5","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.69
"01pwiida6131kr9","MGI:97808","Ptpra","Early adult","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0
"01r59s351wchb02","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_HEM_005_001","Mean cell volume",0.2
"01rfsy3mq4512o6","MGI:2151224","Alpk3","Early adult","C57BL","IMPC_CSD_036_001","Startle response",0.74
"01ru9e5e4g9isue","MGI:2153608","Ube2j2","Middle aged adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.66
"01v0rqc8u1b9479","MGI:1333782","Pld3","Early adult","C57BL","IMPC_GEM_063_001","Facial cleft",0.87
"01vb8p3eg0q70vn","MGI:99160","Zfp14","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.56
"01w565s99i98yn9","MGI:2153608","Ube2j2","Late adult","C57BL","M-G-P_006_001_013","Radius",0.62
"01wucmn4qv69434","MGI:88071","Arnt","Early adult","C57BL","JAX_URI_004_001","Magnesium",0.78
"01x357317m59hs7","MGI:88289","Cbx2","Early adult","C57BL","JAX_URI_004_001","Magnesium",0.97
"01x75x399615q4m","MGI:3037820","Kcna10","Early adult","C57BL","IMPC_DXA_009_001","Fat/Body weight",0.57
"01xdtc3tl0df361","MGI:1914852","Necap1","Early adult","C57BL","IMPC_HEM_008_001","Platelet count",0.48
"01z0k507m7683m5","MGI:1347361","Mmp23","Early adult","C57BL","IMPC_CAL_021_001","Total water intake",0.77
"01zh285w4383x79","MGI:1353497","Slc25a10","Early adult","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.5
"01zx12s7ysm97a9","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_CSD_032_001","Locomotor activity",0.54
"0202o27xbd1717y","MGI:97808","Ptpra","Early adult","C57BL","IMPC_CBC_012_001","Aspartate aminotransferase",0.62
"0205z0u7f35928z","MGI:1928486","Tdo2","E15.5","C57BL","IMPC_DXA_003_001","Lean mass",0.22
"020i684c3fy8p18","MGI:1919192","Myof","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.51
"0211629k5hn074v","MGI:1919824","Zc3h14","Early adult","C57BL","IMPC_DXA_008_001","Lean/Body weight",0.08
"0218bdh9i154lrw","MGI:107628","Prdm2","Early adult","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",1
"021f76x6t9m4p28","MGI:98241","Stmn2","Early adult","C57BL","IMPC_CSD_023_001","Vibrissae - presence",0.98
"021g1s3z1ejav7l","MGI:1196466","Dsg2","Early adult","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.49
"021hb162j15k094","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.27
"021r0c28qxc1608","MGI:2136748","Pcdhb13","Early adult","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.64
"0220ups05z7485a","MGI:3041259","Mettl25","Early adult","C57BL","MGP_IMM_102_001","Immature NK cells - % of lymphocytes",0.3
"022xp35097usw22","MGI:1915918","Klk5","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.69
"0235g0fv90w3063","MGI:2685945","Pstk","Early adult","C57BL","IMPC_HEM_019_001","Mean platelet volume",0.8
"0235jp5vdl16uu7","MGI:102716","Cryba4","Early adult","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.46
"0235x17044yn650","MGI:1922928","Ippk","E9.5","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.16
"0236hrr7k0v17mo","MGI:1922928","Ippk","E9.5","C57BL","IMPC_ABR_006_001","12kHz-evoked ABR Threshold",0.97
"023e3g015q3458z","MGI:2136890","Setd4","Early adult","C57BL","IMPC_EYE_067_001","Left anterior chamber depth",0.37
"023li751z71q686","MGI:106351","Vcf1","Early adult","129SV","ESLIM_011_001_004","PP3 startle magnitude",0.84
"023z3h8oqd0fodm","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_ACS_036_001","% Pre-pulse inhibition - PPI4",0.4
"0245fby6yek10tg","MGI:1928486","Tdo2","E12.5","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.58
"024838154v48gsm","MGI:1916943","Pof1b","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.4
"024x8222w7f1yja","MGI:2387194","Qsox2","Early adult","C57BL","ESLIM_011_001_003","PP2 startle magnitude",0.97
"024zd19w99sjb9l","MGI:109151","Ltbp1","Early adult","C57BL","M-G-P_025_001_021","Uric acid",0.82
"025298643vvt191","MGI:2444401","Snrnp200","Early adult","C57BL","MGP_PBI_031_001","KLRG1+ mature NK cell number",0.43
"0259s439id610a4","MGI:2137026","P2rx5","Early adult","C57BL","IMPC_CAL_021_001","Total water intake",0.93
"025p484459e7pd3","MGI:3037820","Kcna10","Early adult","C57BL","IMPC_ECH_011_001","LVIDs",0.31
"026536uvzehg7d6","MGI:1347361","Mmp23","Early adult","C57BL","IMPC_EYE_067_001","Left anterior chamber depth",0.67
"0267hvtmf752522","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_CSD_008_001","Coat - color pattern - back",0.29
"0268b078b4ixc54","MGI:1277171","Dcx","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.32
"026j3676ufut357","MGI:2385186","Clcc1","E9.5","C57BL","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.76
"026l75i5m51m132","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_CBC_006_001","Total protein",0.44
"026mz2g7ufoj8o4","MGI:1921275","Nphp3","Early adult","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.23
"02721mf8887n5iv","MGI:1918588","Tprg1","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0.25
"0276074g376zj4c","MGI:1922928","Ippk","E12.5","C57BL","IMPC_CBC_008_001","Total bilirubin",0.6
"027n3n84x60ux10","MGI:2147067","Dhx57","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.18
"0280rz9ta68uf1y","MGI:96438","Igfbp3","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.65
"028324sa4z3x019","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.68
"02873f583skg2v1","MGI:3646952","Spink14","Early adult","C57BL","M-G-P_025_001_014","Alanine aminotransferase",0.52
"029y6jek79el28f","MGI:1196466","Dsg2","Early adult","C57BL","MGP_IMM_033_001","Total NK cells - % of CD45+",0.98
"02ch241s48po066","MGI:1920431","Nfatc4","Early adult","C57BL","IMPC_ECH_008_001","LVIDd",0.32
"02d936z41lm12z9","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_CBC_014_001","Alkaline phosphatase",0.86
"02dnx3f78p911qk","MGI:1859026","Cnot4","Early adult","C57BL","HMGULA_HWT_008_001","Heart weight",0.12
"02dol93nv2s9b9p","MGI:1916387","Vstm5","Early adult","C50BL","IMPC_EYE_069_001","Left inner nuclear layer",0.55
"02e567cbdlhg97y","MGI:1922928","Ippk","E12.5","C57BL","IMPC_OFD_010_001","Periphery distance travelled",0.35
"02eal23z6mnpn64","MGI:1915267","Mrm2","Early adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.88
"02f898ecsm06qa3","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_HEM_032_001","Lymphocyte cell count",0.31
"02fl986yiyd5806","MGI:3041259","Mettl25","Early adult","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.36
"02gm12548r6uzgt","MGI:700006","Dbnl","Early adult","C57BL","IMPC_EYE_069_001","Left inner nuclear layer",0
"02gn0v2140z65s2","MGI:1349473","Ppp2r5e","Early adult","C57BL","RBRCLA_YMZ_005_001","Alternation ratio per number of triplets",0.09
"02irq07kx3sf3x0","MGI:88452","Col2a1","Early adult","C57BL","ESLIM_021_001_005","HDL-cholesterol",0.55
"02j646292hbhk03","MGI:88071","Arnt","Early adult","C57BL","IMPC_ACS_033_001","% Pre-pulse inhibition - PPI1",0.28
"02j9mag7s04h311","MGI:95864","Gstp2","Early adult","C57BL","IMPC_ECH_012_001","LVPWs",0.83
"02jank92y2a16x0","MGI:3652039","Rad21l","Early adult","C57BL","IMPC_GEO_019_001","Embryo Size",0.62
"02jmgeo1h762o8l","MGI:88289","Cbx2","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.69
"02kvy444z63rpx9","MGI:104747","Pkia","Early adult","C57BL","IMPC_EYE_069_001","Left inner nuclear layer",0.88
"02l7jwthu67ahy6","MGI:97594","Prkacb","Early adult","C57BL","IMPC_HWT_002_001","Tibia length",0.25
"02lnrux92makcj0","MGI:1928486","Tdo2","E12.5","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.95
"02lp9o6l9364783","MGI:2388280","Polr2b","Early adult","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.38
"02n3g3150549kcp","MGI:98839","Prss1","Early adult","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.07
"02ntc52g00amjg7","MGI:96438","Igfbp3","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.54
"02oo48osz79sr63","MGI:3041259","Mettl25","Early adult","C57BL","M-G-P_006_001_013","Radius",0.46
"02p298u28v6qc5d","MGI:88344","Cd7","Early adult","C57BL","IMPC_EYE_027_001","Persistence of hyaloid vascular system",0.5
"02pe45h532lpcws","MGI:109151","Ltbp1","Early adult","129SV","IMPC_IPG_010_001","Fasted blood glucose concentration",0.38
"02po2150u27f793","MGI:96273","Htr1a","Early adult","C57BL","ESLIM_011_001_003","PP2 startle magnitude",0.12
"02ppu3agi7w7333","MGI:3037820","Kcna10","E12.5","C57BL","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.41
"02qx55177lkl1lp","MGI:2444401","Snrnp200","Early adult","C57BL","RBRCLA_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.45
"02r5r332yku7of2","MGI:2442689","Lrrc49","Early adult","C57BL","JAX_OFD_021_001","Number of rears - total",0
"02r61o3j0a8l72e","MGI:3527427","Taar3","Early adult","C57BL","IMPC_CSD_023_001","Vibrissae - presence",0.39
"02s8tid260b7689","MGI:109151","Ltbp1","Early adult","129SV","IMPC_CBC_028_001","Creatine kinase",0.73
"02ua39165yxbsyp","MGI:1914015","4933411k16rik","Early adult","C57BL","IMPC_HEM_038_001","Basophil differential count",0.5
"02unuv53y92j729","MGI:1919824","Zc3h14","Early adult","C57BL","IMPC_CSD_023_001","Vibrissae - presence",0.39
"02v276pa0522rk9","MGI:1277171","Dcx","Early adult","C57BL","IMPC_EYE_014_001","Pupil Light Response",0.65
"02vudc89977f3h5","MGI:2441730","Tbl1xr1","Early adult","C57BL","IMPC_OFD_020_001","Distance travelled - total",0.54
"02w1k854m9h83aq","MGI:3037820","Kcna10","E12.5","C57BL","ESLIM_020_001_002","Heart weight",0.65
"02w7gqe24m753ju","MGI:3527427","Taar3","Early adult","C57BL","MGP_IMM_102_001","Immature NK cells - % of lymphocytes",0.99
"02wq3m5sg6u2t2q","MGI:1915267","Mrm2","E9.5","C57BL","IMPC_EYE_023_001","Optic Disc",0.96
"02xo8x640wl79g2","MGI:88344","Cd7","Early adult","C57BL","IMPC_OWT_002_001","Spleen weight",0.2
"02y2af251ccgaj9","MGI:1922928","Ippk","E12.5","C57BL","IMPC_CSD_032_001","Locomotor activity",0.17
"03096v67i70e119","MGI:2443796","Scart1","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.57
"030puy5pq4292n9","MGI:2387194","Qsox2","Late adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.91
"0312569a8z8ajim","MGI:2684313","Togaram1","E12.5","C57BL","IMPC_OFD_015_001","Center resting time",0.7
"03131x12g5016u1","MGI:1339711","Myh1","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.44
"0314el7m3yuzy56","MGI:2388280","Polr2b","Early adult","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.18
"031etu20v8f6250","MGI:98957","Wnt4","Early adult","C57BL","ESLIM_009_001_704","Forelimb and hindlimb grip strength normalised against body weight",0.87
"031u0xyh75bbvfx","MGI:2388280","Polr2b","Early adult","C57BL","IMPC_ACS_006_001","Response amplitude - S",0.5
"031v317hzo6lm2a","MGI:2153608","Ube2j2","Middle aged adult","C57BL","IMPC_HEM_004_001","Hematocrit",0.28
"031xsf0b99z2v19","MGI:2441730","Tbl1xr1","Early adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.64
"032emk94403qv93","MGI:1922928","Ippk","E9.5","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.8
"032rf5mk5500358","MGI:1917022","Bdh2","Early adult","C57BL","IMPC_CBC_009_001","Calcium",0.08
"0331h733xq45pi6","MGI:1915267","Mrm2","E9.5","C57BL","IMPC_CBC_008_001","Total bilirubin",0.96
"03337l3724766z8","MGI:2147067","Dhx57","Early adult","C57BL","ESLIM_011_001_003","PP2 startle magnitude",0.64
"033b26i3el3ijr2","MGI:109151","Ltbp1","Early adult","129SV","JAX_LDT_002_001","Light side time spent",0.5
